Name,Year_of_Release,Platform,Genre,Average_Score,Rating,NA_Sales_Actual_Units,EU_Sales_Actual_Units
Mario Kart 8,2014,WiiU,Racing,90.9,E,3150000,2150000
Super Mario 3D World,2013,WiiU,Platform,90.1,E,2110000,1160000
Super Mario Galaxy,2007,Wii,Platform,89.3,E,6060000,3350000
The Legend of Zelda: A Link Between Worlds,2013,3DS,Action,89.1,E,1400000,1010000
Super Mario Maker,2015,WiiU,Platform,87.1,E,1180000,890000
Animal Crossing: New Leaf,2012,3DS,Simulation,87.1,E,2030000,2360000
Rhythm Heaven,2008,DS,Misc,87.0,E,550000,500000
Pikmin 3,2013,WiiU,Strategy,87.0,E10+,440000,320000
Splatoon,2015,WiiU,Shooter,84.7,E10+,1540000,1180000
Super Mario 3D Land,2011,3DS,Platform,84.5,E,4890000,3000000
New Super Mario Bros. Wii,2009,Wii,Platform,84.4,E,14440000,6940000
Mario Kart Wii,2008,Wii,Racing,82.9,E,15680000,12760000
Star Fox 64 3D,2011,3DS,Shooter,81.8,E10+,480000,270000
New Super Mario Bros. U,2012,WiiU,Platform,81.3,E,2300000,1340000
The Legend of Zelda: Phantom Hourglass,2007,DS,Action,81.2,E,1850000,1800000
The Legend of Zelda: Skyward Sword,2011,Wii,Action,80.5,E10+,2030000,1160000
The Legend of Zelda: Spirit Tracks,2009,DS,Action,80.2,E10+,1400000,910000
Wii Sports Resort,2009,Wii,Sports,80.0,E,15610000,10930000
Nintendo Land,2012,WiiU,Misc,78.8,E10+,2520000,1110000
New Super Luigi U,2013,WiiU,Platform,78.7,E,1250000,620000
Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,DS,Puzzle,78.5,E,1630000,510000
Wii Fit,2007,Wii,Sports,77.9,E,8920000,8030000
Wii Fit Plus,2009,Wii,Sports,76.3,E,9010000,8490000
Wii Fit U,2013,WiiU,Sports,76.0,E,350000,230000
Brain Age: Concentration Training,2012,3DS,Puzzle,75.9,E,90000,0
Animal Crossing: City Folk,2008,Wii,Simulation,75.1,E,1820000,1120000
The Legend of Zelda: Tri Force Heroes,2015,3DS,Action,75.1,E,530000,330000
New Super Mario Bros. 2,2012,3DS,Platform,72.9,E,3660000,3140000
Link's Crossbow Training,2007,Wii,Shooter,69.7,T,3050000,1170000
Wii Sports Club,2014,WiiU,Sports,69.7,E10+,170000,140000
Personal Trainer: Walking,2008,DS,Sports,69.0,E,210000,320000
Big Brain Academy: Wii Degree,2007,Wii,Misc,68.5,E,1050000,1910000
Animal Crossing: Happy Home Designer,2015,3DS,Simulation,67.9,E,510000,1020000
Wii Play: Motion,2011,Wii,Misc,60.3,E10+,230000,420000
Steel Diver,2011,3DS,Action,59.7,E10+,310000,90000
Wii Music,2008,Wii,Misc,50.6,E,1350000,1110000
