Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_Actual_Units,EU_Sales_Actual_Units,JP_Sales_Actual_Units,Other_Sales_Actual_Units,Global_Sales_Actual_Units,Critic_Score,Critic_Count,User_Score,User_Count,Average_Score,Developer,Developer_Copied,Rating
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,"8,920,000","8,030,000","3,600,000","2,150,000","22,700,000",80,63,7.7,146,77.9,Nintendo,Nintendo,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,"7,970,000","2,810,000","130,000","1,210,000","12,120,000",94,86,7.8,4100,78.3,"Bungie Software, Bungie","Bungie Software, Bungie",M
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,"6,060,000","3,350,000","1,200,000","740,000","11,350,000",97,73,8.9,2147,89.3,Nintendo,Nintendo,E
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,"5,930,000","2,360,000","130,000","900,000","9,310,000",94,70,8.4,1320,84.5,Infinity Ward,Infinity Ward,M
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,"4,400,000","1,850,000","1,980,000","680,000","8,910,000",72,27,7.8,85,76.6,Hudson Soft,Hudson Soft,E
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,"3,740,000","2,240,000","1,580,000","700,000","8,270,000",62,41,6.3,190,62.8,Hudson,Hudson,E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,"3,110,000","2,260,000","280,000","1,030,000","6,680,000",94,44,8.4,993,84.4,Infinity Ward,Infinity Ward,M
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0,0.51,5.64,"3,570,000","1,550,000",0,"510,000","5,640,000",80,17,8.9,62,87.1,Traveller's Tales,Traveller's Tales,E10+
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,"3,280,000","1,640,000","70,000","560,000","5,540,000",81,77,7.7,1074,77.3,Ubisoft Montreal,Ubisoft Montreal,M
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,"1,210,000","2,430,000","1,030,000","520,000","5,190,000",85,72,8.6,147,85.7,Level 5,Level 5,E
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,"1,850,000","1,800,000","950,000","480,000","5,080,000",90,57,8,416,81.2,Nintendo,Nintendo,E
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,"3,490,000","10,000","10,000","1,480,000","4,980,000",82,24,8.2,46,82.0,"Neversoft Entertainment, BudCat","Neversoft Entertainment, BudCat",T
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,"3,050,000","1,170,000","290,000","460,000","4,980,000",68,34,7.1,47,69.7,Nintendo,Nintendo,T
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,"2,310,000","1,720,000","120,000","770,000","4,920,000",88,66,8.1,2306,81.2,"Naughty Dog, SCE/WWS","Naughty Dog, SCE/WWS",T
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.82,4.82,"1,910,000","2,000,000","90,000","820,000","4,820,000",81,40,7.3,769,73.4,Ubisoft Montreal,Ubisoft Montreal,M
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0,0.45,4.76,"2,830,000","1,480,000",0,"450,000","4,760,000",80,9,5.4,46,58.3,TT Fusion,TT Fusion,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0,0.43,4.6,"3,040,000","1,110,000",0,"430,000","4,600,000",86,36,8.4,87,84.6,Vicarious Visions,Vicarious Visions,T
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,"3,190,000","910,000","10,000","420,000","4,530,000",85,69,7.9,165,80.8,Neversoft Entertainment,Neversoft Entertainment,T
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,"1,280,000","1,820,000","570,000","520,000","4,190,000",80,67,7.1,120,74.2,Polyphony Digital,Polyphony Digital,E
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,0,4.09,"2,570,000","1,520,000",0,0,"4,090,000",91,46,7.9,785,79.7,Blizzard Entertainment,Blizzard Entertainment,T
God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,"2,320,000","40,000","40,000","1,670,000","4,070,000",93,70,8.9,709,89.4,SCE Santa Monica,SCE Santa Monica,M
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05,"2,350,000","1,270,000","30,000","410,000","4,050,000",90,66,8.3,381,84.0,Turn 10,Turn 10,E
